State,District,Latitude,Longitude,District code,Population,Male,Female,Male_Literate,Female_Literate,Male_Workers,Female_Workers,sex_ratio,literacy_rate,male_to_female_working_ratio,ownership_ratio,electric_lighting_ratio,internet_access_ratio,bathing_facility_ratio,latrine_facility_ratio,lpg_or_png_ratio,urban_to_rural_ratio
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,856350,626997,748939,574728,100.0,54.0,130.31190406592336,720.688455292935,69.2305622748296,0.6740743095996888,46.258104911986344,23.36415910697383,23.841343061265917,36.863687640802986
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,1338474,972486,1208544,827622,98.0,57.0,146.0260843718509,451.23639101227707,72.15925710446888,0.6915627099358099,60.74847239052802,28.44262584898443,17.921165386828324,37.81086758870738
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,1484794,1183084,1202223,731134,100.0,64.0,164.43264846115758,414.7788735258235,72.44242140704212,1.055550016489374,57.87754914216908,29.32631320607116,24.880241128333346,43.60276220579975
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,1716933,1571644,1545831,547850,101.0,64.0,282.1631833531076,391.12409881350516,80.78464804423352,1.3955927143471862,54.14384113993851,49.82859448724998,29.885524158369353,33.87820878898255
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,1634726,1325715,1442370,939254,100.0,61.0,153.56548920739226,355.3824531917283,74.92327810030386,1.2244549870814092,57.11981756043942,48.19013386060556,40.971073727566186,47.959999140088065
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,1542688,1349467,1045585,367712,95.0,73.0,284.3488926116091,103.38673591500995,81.56522293674604,13.976886191267097,81.8820226036281,81.42126571689289,54.53577782383575,inf
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,1257238,949591,1049463,827305,101.0,58.0,126.85321616574299,582.4848690536795,79.53178635177811,0.7578436084031306,57.950278044761774,38.863191679253056,29.578041329122613,32.835405751701934
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,901640,728594,802906,607156,101.0,58.0,132.24047855905238,534.4274088005617,76.78610193826275,0.9910122038765256,46.37346733668342,41.41059583632448,25.23589375448672,30.08732006299476
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,1598959,1410759,1327299,721581,99.0,67.0,183.94317477871508,263.0313517729243,78.8393412330814,2.0617285790342836,60.77222362961226,58.483852569946905,42.869025572803984,62.36082578533628
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,1246369,880792,1164122,865303,99.0,52.0,134.53345244382604,453.94332449442516,74.87117666741533,0.9241544321551838,64.36537148147978,32.387024618755355,17.876305765766592,39.16321044889794
